stock_id,stock_name,asset_type,source_industry
0051,元大中型100,ETF,ETF
0052,富邦科技,ETF,ETF
0053,元大電子,ETF,ETF
0055,元大MSCI金融,ETF,ETF
0056,元大高股息,ETF,ETF
0057,富邦摩台,ETF,ETF
0061,元大寶滬深,ETF,ETF
006203,元大MSCI台灣,ETF,ETF
1704,榮化,COMMON_STOCK,化學工業
3573,穎台,COMMON_STOCK,光電業
2473,思源,COMMON_STOCK,半導體業
2469,力信,COMMON_STOCK,電子工業
006204,永豐臺灣加權,ETF,ETF
2494,廣業科,COMMON_STOCK,通信網路業
006205,富邦上証,ETF,ETF
00400A,主動國泰動能高息,ETF,ETF
006206,元大上證50,ETF,ETF
006207,復華滬深,ETF,ETF
006208,富邦台50,ETF,ETF
00625K,富邦上証+R,ETF,ETF
00631L,元大台灣50正2,ETF,ETF
00632R,元大台灣50反1,ETF,ETF
00633L,富邦上証正2,ETF,ETF
00634R,富邦上証反1,ETF,ETF
00635U,期元大S&P黃金,ETF,ETF
00636,國泰中國A50,ETF,ETF
00636K,國泰中國A50+U,ETF,ETF
00637L,元大滬深300正2,ETF,ETF
00638R,元大滬深300反1,ETF,ETF
00639,富邦深100,ETF,ETF
00640L,富邦日本正2,ETF,ETF
00641R,富邦日本反1,ETF,ETF
00642U,期元大S&P石油,ETF,ETF
00643,群益深証中小,ETF,ETF
00643K,群益深証中小+R,ETF,ETF
00645,富邦日本,ETF,ETF
00646,元大S&P500,ETF,ETF
00647L,元大S&P500正2,ETF,ETF
009819,中信數據及電力,ETF,ETF
009820,元大納斯達克精選,ETF,ETF
2341,英群,COMMON_STOCK,電子工業
7760,享溫馨,COMMON_STOCK,休閒娛樂
00401A,主動摩根台灣鑫收,ETF,ETF
00648R,元大S&P500反1,ETF,ETF
3614,誠致,COMMON_STOCK,電子工業
1724,台硝,COMMON_STOCK,化學工業
6119,大傳,COMMON_STOCK,電子工業
6781,AES-KY,COMMON_STOCK,電子工業
00999A,主動野村臺灣高息,ETF,ETF
2315,神達,COMMON_STOCK,電腦及週邊設備業
4148,全宇生技-KY,COMMON_STOCK,化學生技醫療
3061,璨圓,COMMON_STOCK,電子工業
2336,致伸,COMMON_STOCK,電腦及週邊設備業
